[2026-01-27 17:45:42] [DEBUG] INDIGO: RSI condition failed (36.44)
[2026-01-27 17:45:42] [DEBUG] INDUSINDBK: RSI condition failed (49.23)
[2026-01-27 17:45:42] [DEBUG] INDUSTOWER: RSI condition failed (47.31)
[2026-01-27 17:45:42] [DEBUG] INFY: Close below 30D high
[2026-01-27 17:45:42] [DEBUG] INOXINDIA: RSI condition failed (37.97)
[2026-01-27 17:45:42] [DEBUG] INOXWIND: RSI condition failed (26.73)
[2026-01-27 17:45:42] [DEBUG] INTELLECT: RSI condition failed (38.04)
[2026-01-27 17:45:42] [DEBUG] IOB: RSI condition failed (35.93)
[2026-01-27 17:45:42] [DEBUG] IOC: RSI condition failed (44.52)
[2026-01-27 17:45:42] [DEBUG] IPCALAB: RSI condition failed (50.17)
[2026-01-27 17:45:42] [DEBUG] IRB: RSI condition failed (38.67)
[2026-01-27 17:45:42] [DEBUG] IRCON: RSI condition failed (38.83)
[2026-01-27 17:45:42] [DEBUG] IRCTC: RSI condition failed (29.55)
[2026-01-27 17:45:42] [DEBUG] IREDA: RSI condition failed (38.38)
[2026-01-27 17:45:42] [DEBUG] IRFC: RSI condition failed (37.05)
[2026-01-27 17:45:42] [DEBUG] ITC: RSI condition failed (15.08)
[2026-01-27 17:45:42] [DEBUG] ITCHOTELS: RSI condition failed (32.79)
[2026-01-27 17:45:42] [DEBUG] ITI: RSI condition failed (29.13)
[2026-01-27 17:45:42] [DEBUG] J&KBANK: RSI condition failed (53.32)
[2026-01-27 17:45:42] [DEBUG] JBCHEPHARM: RSI condition failed (52.75)
[2026-01-27 17:45:42] [DEBUG] JBMA: RSI condition failed (34.60)
[2026-01-27 17:45:42] [DEBUG] JINDALSAW: RSI condition failed (55.39)
[2026-01-27 17:45:42] [DEBUG] JINDALSTEL: RSI condition failed (57.71)
[2026-01-27 17:45:42] [DEBUG] JIOFIN: RSI condition failed (20.19)
[2026-01-27 17:45:42] [DEBUG] JKCEMENT: RSI condition failed (42.31)
[2026-01-27 17:45:42] [DEBUG] JKTYRE: RSI condition failed (56.44)
[2026-01-27 17:45:42] [DEBUG] JMFINANCIL: RSI condition failed (32.83)
[2026-01-27 17:45:42] [DEBUG] JPPOWER: RSI condition failed (22.09)
[2026-01-27 17:45:42] [DEBUG] JSL: RSI condition failed (48.49)
[2026-01-27 17:45:42] [DEBUG] JSWCEMENT: skipped (not enough candles)
[2026-01-27 17:45:42] [DEBUG] JSWENERGY: RSI condition failed (29.20)
[2026-01-27 17:45:42] [DEBUG] JSWINFRA: RSI condition failed (39.89)
[2026-01-27 17:45:42] [DEBUG] JUBLFOOD: RSI condition failed (18.60)
