[2026-01-27 22:31:43] [INFO] Momentum Engine Started (Chartink Logic)
[2026-02-06 01:23:00] 688MN31-SG | SKIP insufficient candles
[2026-02-06 01:23:00] 685RJ31-SG | SKIP insufficient candles
[2026-02-06 01:23:00] 688UP31-SG | SKIP insufficient candles
[2026-02-06 01:23:00] 69AP32-SG | SKIP insufficient candles
[2026-02-06 01:23:00] 689AP35-SG | SKIP insufficient candles
[2026-02-06 01:23:01] 688RJ46-SG | SKIP insufficient candles
[2026-02-06 01:23:01] 689WB41-SG | SKIP insufficient candles
[2026-02-06 01:23:01] 686TS41-SG | SKIP insufficient candles
[2026-02-06 01:23:01] 687AP37-SG | SKIP insufficient candles
[2026-02-06 01:23:01] 685TN51-SG | SKIP insufficient candles
[2026-02-06 01:23:02] 619AS26-SG | SKIP insufficient candles
[2026-02-06 01:23:03] 609RJ26-SG | SKIP insufficient candles
[2026-02-06 01:23:03] 698AS31-SG | SKIP insufficient candles
[2026-02-06 01:23:03] 705PN31-SG | SKIP insufficient candles
[2026-02-06 01:23:03] 695RJ31-SG | SKIP insufficient candles
[2026-02-06 01:23:04] 694UP31-SG | SKIP insufficient candles
[2026-02-06 01:23:04] MFSL | STATE=WAITING
[2026-02-06 01:23:04] MFSL | ENTRY → ACTIVE
[2026-02-06 01:23:04] 704MZ33-SG | SKIP insufficient candles
[2026-02-06 01:23:04] BDL | STATE=WAITING
[2026-02-06 01:23:04] BDL | WAITING → DULL
[2026-02-06 01:23:05] 698HR41-SG | SKIP insufficient candles
[2026-02-06 01:23:05] 696RJ41-SG | SKIP insufficient candles
[2026-02-06 01:23:05] 697WB36-SG | SKIP insufficient candles
[2026-02-06 01:23:05] 697RJ51-SG | SKIP insufficient candles
[2026-02-06 01:23:07] 621AS26-SG | SKIP insufficient candles
[2026-02-06 01:23:07] 70TS51-SG | SKIP insufficient candles
[2026-02-06 01:23:08] 693GJ31-SG | SKIP insufficient candles
[2026-02-06 01:23:08] 705HP35-SG | SKIP insufficient candles
[2026-02-06 01:23:08] 702HP36-SG | SKIP insufficient candles
[2026-02-06 01:23:08] 703MP31-SG | SKIP insufficient candles
[2026-02-06 01:23:08] 705NL31-SG | SKIP insufficient candles
[2026-02-06 01:23:08] 705RJ31-SG | SKIP insufficient candles
[2026-02-06 01:23:09] 703RJ36-SG | SKIP insufficient candles
[2026-02-06 01:23:09] 699RJ41-SG | SKIP insufficient candles
