[2026-02-02 22:56:57] PETRONET | CHECK | rsi_strengthening = False
[2026-02-02 22:56:57] PETRONET | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:57] PETRONET | CHECK | ema_distance_ok = True
[2026-02-02 22:56:57] PETRONET | FAIL | pyramiding conditions not met
[2026-02-02 22:56:57] POWERGRID | CHECK | rsi_strengthening = True
[2026-02-02 22:56:57] POWERGRID | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:57] POWERGRID | CHECK | ema_distance_ok = True
[2026-02-02 22:56:57] POWERGRID | FAIL | pyramiding conditions not met
[2026-02-02 22:56:57] RAINBOW | CHECK | rsi_strengthening = True
[2026-02-02 22:56:57] RAINBOW | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:57] RAINBOW | CHECK | ema_distance_ok = True
[2026-02-02 22:56:57] RAINBOW | FAIL | pyramiding conditions not met
[2026-02-02 22:56:57] SBIN | CHECK | rsi_strengthening = False
[2026-02-02 22:56:57] SBIN | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:57] SBIN | CHECK | ema_distance_ok = True
[2026-02-02 22:56:57] SBIN | FAIL | pyramiding conditions not met
[2026-02-02 22:56:58] SYRMA | CHECK | rsi_strengthening = True
[2026-02-02 22:56:58] SYRMA | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:58] SYRMA | CHECK | ema_distance_ok = True
[2026-02-02 22:56:58] SYRMA | FAIL | pyramiding conditions not met
[2026-02-02 22:56:58] TATACONSUM | CHECK | rsi_strengthening = True
[2026-02-02 22:56:58] TATACONSUM | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:58] TATACONSUM | CHECK | ema_distance_ok = True
[2026-02-02 22:56:58] TATACONSUM | FAIL | pyramiding conditions not met
[2026-02-02 22:56:58] TATASTEEL | CHECK | rsi_strengthening = False
[2026-02-02 22:56:58] TATASTEEL | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:58] TATASTEEL | CHECK | ema_distance_ok = True
[2026-02-02 22:56:58] TATASTEEL | FAIL | pyramiding conditions not met
[2026-02-02 22:56:58] TECHM | CHECK | rsi_strengthening = False
[2026-02-02 22:56:58] TECHM | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:58] TECHM | CHECK | ema_distance_ok = True
[2026-02-02 22:56:58] TECHM | FAIL | pyramiding conditions not met
[2026-02-02 22:56:58] TMCV | FAIL | insufficient candles (57)
[2026-02-02 22:56:59] TMPV | CHECK | rsi_strengthening = True
[2026-02-02 22:56:59] TMPV | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:59] TMPV | CHECK | ema_distance_ok = True
[2026-02-02 22:56:59] TMPV | FAIL | pyramiding conditions not met
[2026-02-02 22:56:59] TORNTPOWER | CHECK | rsi_strengthening = False
[2026-02-02 22:56:59] TORNTPOWER | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:59] TORNTPOWER | CHECK | ema_distance_ok = True
[2026-02-02 22:56:59] TORNTPOWER | FAIL | pyramiding conditions not met
[2026-02-02 22:56:59] TVSMOTOR | CHECK | rsi_strengthening = True
[2026-02-02 22:56:59] TVSMOTOR | CHECK | close_breaks_recent_high = False
[2026-02-02 22:56:59] TVSMOTOR | CHECK | ema_distance_ok = True
[2026-02-02 22:56:59] TVSMOTOR | FAIL | pyramiding conditions not met
[2026-02-02 22:56:59] UNIONBANK | CHECK | rsi_strengthening = False
[2026-02-02 22:56:59] UNIONBANK | CHECK | close_breaks_recent_high = False
[2026-02-02 22:57:00] UNIONBANK | CHECK | ema_distance_ok = True
[2026-02-02 22:57:00] UNIONBANK | FAIL | pyramiding conditions not met
[2026-02-02 22:57:00] VIKASECO | CHECK | rsi_strengthening = False
[2026-02-02 22:57:00] VIKASECO | CHECK | close_breaks_recent_high = False
[2026-02-02 22:57:00] VIKASECO | CHECK | ema_distance_ok = True
[2026-02-02 22:57:00] VIKASECO | FAIL | pyramiding conditions not met
[2026-02-02 22:57:00] VIKASLIFE | CHECK | rsi_strengthening = False
[2026-02-02 22:57:00] VIKASLIFE | CHECK | close_breaks_recent_high = False
[2026-02-02 22:57:00] VIKASLIFE | CHECK | ema_distance_ok = True
[2026-02-02 22:57:00] VIKASLIFE | FAIL | pyramiding conditions not met
[2026-02-02 22:57:00] YESBANK | CHECK | rsi_strengthening = True
[2026-02-02 22:57:00] YESBANK | CHECK | close_breaks_recent_high = False
[2026-02-02 22:57:00] YESBANK | CHECK | ema_distance_ok = True
[2026-02-02 22:57:00] YESBANK | FAIL | pyramiding conditions not met
[2026-02-03 08:50:45] ACMESOLAR | CHECK | rsi_strengthening = False
[2026-02-03 08:50:45] ACMESOLAR | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:45] ACMESOLAR | CHECK | ema_distance_ok = True
[2026-02-03 08:50:45] ACMESOLAR | FAIL | pyramiding conditions not met
[2026-02-03 08:50:46] APLAPOLLO | CHECK | rsi_strengthening = True
[2026-02-03 08:50:46] APLAPOLLO | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:46] APLAPOLLO | CHECK | ema_distance_ok = True
[2026-02-03 08:50:46] APLAPOLLO | FAIL | pyramiding conditions not met
[2026-02-03 08:50:46] ASHOKLEY | CHECK | rsi_strengthening = False
[2026-02-03 08:50:46] ASHOKLEY | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:46] ASHOKLEY | CHECK | ema_distance_ok = True
[2026-02-03 08:50:46] ASHOKLEY | FAIL | pyramiding conditions not met
[2026-02-03 08:50:46] AXISBANK | CHECK | rsi_strengthening = False
[2026-02-03 08:50:46] AXISBANK | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:46] AXISBANK | CHECK | ema_distance_ok = True
[2026-02-03 08:50:46] AXISBANK | FAIL | pyramiding conditions not met
[2026-02-03 08:50:46] BANKBEES | CHECK | rsi_strengthening = False
[2026-02-03 08:50:46] BANKBEES | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:46] BANKBEES | CHECK | ema_distance_ok = True
[2026-02-03 08:50:46] BANKBEES | FAIL | pyramiding conditions not met
[2026-02-03 08:50:46] BEL | CHECK | rsi_strengthening = False
[2026-02-03 08:50:46] BEL | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:46] BEL | CHECK | ema_distance_ok = True
[2026-02-03 08:50:46] BEL | FAIL | pyramiding conditions not met
[2026-02-03 08:50:46] BEML | CHECK | rsi_strengthening = False
[2026-02-03 08:50:46] BEML | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:46] BEML | CHECK | ema_distance_ok = True
[2026-02-03 08:50:46] BEML | FAIL | pyramiding conditions not met
[2026-02-03 08:50:47] BPCL | CHECK | rsi_strengthening = True
[2026-02-03 08:50:47] BPCL | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:47] BPCL | CHECK | ema_distance_ok = True
[2026-02-03 08:50:47] BPCL | FAIL | pyramiding conditions not met
[2026-02-03 08:50:47] COALINDIA | CHECK | rsi_strengthening = False
[2026-02-03 08:50:47] COALINDIA | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:47] COALINDIA | CHECK | ema_distance_ok = True
[2026-02-03 08:50:47] COALINDIA | FAIL | pyramiding conditions not met
[2026-02-03 08:50:47] CUB | CHECK | rsi_strengthening = False
[2026-02-03 08:50:47] CUB | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:47] CUB | CHECK | ema_distance_ok = True
[2026-02-03 08:50:47] CUB | FAIL | pyramiding conditions not met
[2026-02-03 08:50:47] DATAPATTNS | CHECK | rsi_strengthening = False
[2026-02-03 08:50:47] DATAPATTNS | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:47] DATAPATTNS | CHECK | ema_distance_ok = True
[2026-02-03 08:50:47] DATAPATTNS | FAIL | pyramiding conditions not met
[2026-02-03 08:50:47] DLF | CHECK | rsi_strengthening = False
[2026-02-03 08:50:47] DLF | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:47] DLF | CHECK | ema_distance_ok = True
[2026-02-03 08:50:47] DLF | FAIL | pyramiding conditions not met
[2026-02-03 08:50:48] FEDERALBNK | CHECK | rsi_strengthening = False
[2026-02-03 08:50:48] FEDERALBNK | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:48] FEDERALBNK | CHECK | ema_distance_ok = True
[2026-02-03 08:50:48] FEDERALBNK | FAIL | pyramiding conditions not met
[2026-02-03 08:50:48] GAIL | CHECK | rsi_strengthening = False
[2026-02-03 08:50:48] GAIL | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:48] GAIL | CHECK | ema_distance_ok = True
[2026-02-03 08:50:48] GAIL | FAIL | pyramiding conditions not met
[2026-02-03 08:50:48] GESHIP | CHECK | rsi_strengthening = True
[2026-02-03 08:50:48] GESHIP | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:48] GESHIP | CHECK | ema_distance_ok = True
[2026-02-03 08:50:48] GESHIP | FAIL | pyramiding conditions not met
[2026-02-03 08:50:48] GVT&D | CHECK | rsi_strengthening = True
[2026-02-03 08:50:48] GVT&D | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:48] GVT&D | CHECK | ema_distance_ok = False
[2026-02-03 08:50:48] GVT&D | FAIL | pyramiding conditions not met
[2026-02-03 08:50:49] HCLTECH | CHECK | rsi_strengthening = False
[2026-02-03 08:50:49] HCLTECH | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:49] HCLTECH | CHECK | ema_distance_ok = True
[2026-02-03 08:50:49] HCLTECH | FAIL | pyramiding conditions not met
[2026-02-03 08:50:49] HINDCOPPER | CHECK | rsi_strengthening = False
[2026-02-03 08:50:49] HINDCOPPER | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:49] HINDCOPPER | CHECK | ema_distance_ok = True
[2026-02-03 08:50:49] HINDCOPPER | FAIL | pyramiding conditions not met
[2026-02-03 08:50:49] ICICIBANK | CHECK | rsi_strengthening = False
[2026-02-03 08:50:49] ICICIBANK | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:49] ICICIBANK | CHECK | ema_distance_ok = True
[2026-02-03 08:50:49] ICICIBANK | FAIL | pyramiding conditions not met
[2026-02-03 08:50:49] IOC | CHECK | rsi_strengthening = True
[2026-02-03 08:50:49] IOC | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:49] IOC | CHECK | ema_distance_ok = True
[2026-02-03 08:50:49] IOC | FAIL | pyramiding conditions not met
[2026-02-03 08:50:50] IRCTC | CHECK | rsi_strengthening = True
[2026-02-03 08:50:50] IRCTC | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:50] IRCTC | CHECK | ema_distance_ok = True
[2026-02-03 08:50:50] IRCTC | FAIL | pyramiding conditions not met
[2026-02-03 08:50:50] IREDA | CHECK | rsi_strengthening = False
[2026-02-03 08:50:50] IREDA | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:50] IREDA | CHECK | ema_distance_ok = True
[2026-02-03 08:50:50] IREDA | FAIL | pyramiding conditions not met
[2026-02-03 08:50:50] ITCHOTELS | CHECK | rsi_strengthening = True
[2026-02-03 08:50:50] ITCHOTELS | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:50] ITCHOTELS | CHECK | ema_distance_ok = True
[2026-02-03 08:50:50] ITCHOTELS | FAIL | pyramiding conditions not met
[2026-02-03 08:50:50] KARURVYSYA | CHECK | rsi_strengthening = False
[2026-02-03 08:50:50] KARURVYSYA | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:50] KARURVYSYA | CHECK | ema_distance_ok = True
[2026-02-03 08:50:50] KARURVYSYA | FAIL | pyramiding conditions not met
[2026-02-03 08:50:50] KTKBANK | CHECK | rsi_strengthening = False
[2026-02-03 08:50:50] KTKBANK | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:50] KTKBANK | CHECK | ema_distance_ok = True
[2026-02-03 08:50:50] KTKBANK | FAIL | pyramiding conditions not met
[2026-02-03 08:50:51] LENSKART | FAIL | insufficient candles
[2026-02-03 08:50:51] M&M | CHECK | rsi_strengthening = True
[2026-02-03 08:50:51] M&M | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:51] M&M | CHECK | ema_distance_ok = True
[2026-02-03 08:50:51] M&M | FAIL | pyramiding conditions not met
[2026-02-03 08:50:51] MAZDOCK | CHECK | rsi_strengthening = False
[2026-02-03 08:50:51] MAZDOCK | CHECK | close_breaks_recent_high = False
[2026-02-03 08:50:51] MAZDOCK | CHECK | ema_distance_ok = True
[2026-02-03 08:50:51] MAZDOCK | FAIL | pyramiding conditions not met
